# Label,  Recall,  Precision
1.0000e+00,8.2482e-01,7.0405e-01
2.0000e+00,6.5455e-01,8.3721e-01
3.0000e+00,6.9963e-01,7.4031e-01
4.0000e+00,7.9121e-01,8.0597e-01
5.0000e+00,7.9273e-01,8.0443e-01
6.0000e+00,8.8364e-01,9.5669e-01
7.0000e+00,8.8727e-01,8.5915e-01
8.0000e+00,9.3407e-01,9.9222e-01
9.0000e+00,9.6703e-01,9.9248e-01
1.0000e+01,5.8242e-01,6.7089e-01
1.1000e+01,4.7619e-01,6.0748e-01
1.2000e+01,3.9338e-01,4.3145e-01
1.3000e+01,7.8598e-01,8.0075e-01
1.4000e+01,8.8727e-01,9.4208e-01
1.5000e+01,9.5290e-01,9.1638e-01
1.6000e+01,7.0330e-01,8.3117e-01
1.7000e+01,6.6423e-01,7.2800e-01
1.8000e+01,8.4982e-01,8.3453e-01
1.9000e+01,9.0876e-01,8.6159e-01
2.0000e+01,9.1912e-01,8.9606e-01
2.1000e+01,9.5238e-01,9.7015e-01
2.2000e+01,9.2336e-01,8.5763e-01
2.3000e+01,8.3577e-01,7.6333e-01
2.4000e+01,9.4565e-01,8.7000e-01
2.5000e+01,7.5547e-01,7.3404e-01
2.6000e+01,9.7818e-01,9.7818e-01
2.7000e+01,1.0000e+00,9.8221e-01
2.8000e+01,8.1818e-01,7.4257e-01
2.9000e+01,5.4909e-01,5.2982e-01
3.0000e+01,6.0364e-01,5.3548e-01
3.1000e+01,6.0145e-01,7.5113e-01
3.2000e+01,7.2101e-01,6.8385e-01
3.3000e+01,6.8841e-01,8.4444e-01
3.4000e+01,7.1014e-01,7.2593e-01
3.5000e+01,8.7319e-01,7.9538e-01
3.6000e+01,9.1273e-01,8.6254e-01
3.7000e+01,7.7536e-01,8.0451e-01
3.8000e+01,8.5145e-01,8.3039e-01
3.9000e+01,8.0435e-01,7.7622e-01
4.0000e+01,9.2754e-01,8.2315e-01
4.1000e+01,6.5217e-01,8.1448e-01
4.2000e+01,9.3478e-01,8.9895e-01
4.3000e+01,9.8545e-01,9.8545e-01
4.4000e+01,7.4275e-01,5.2296e-01
4.5000e+01,8.9130e-01,7.1304e-01
4.6000e+01,8.3333e-01,7.4919e-01
4.7000e+01,7.3551e-01,8.1526e-01
4.8000e+01,8.2545e-01,7.8007e-01
4.9000e+01,7.8909e-01,7.6950e-01
5.0000e+01,8.4307e-01,8.4615e-01
5.1000e+01,8.8043e-01,9.3462e-01
5.2000e+01,9.1304e-01,8.9680e-01
5.3000e+01,7.7536e-01,9.0678e-01
5.4000e+01,8.6957e-01,8.3916e-01
5.5000e+01,9.3431e-01,9.0780e-01
5.6000e+01,8.3696e-01,9.2400e-01
5.7000e+01,8.5455e-01,8.9354e-01
5.8000e+01,9.1304e-01,8.7805e-01
5.9000e+01,9.9267e-01,9.7482e-01
6.0000e+01,9.4928e-01,9.9242e-01
